Chave,C2_PRODUTO,C2_XDESCP,C2_QUANT,C2_DATPRI,C2_DATPRF,D4_COD,D4_QTDEORI,Soma de D4_QUANT,D4_XQFALFI,D4_XQTRANS
,,,,,,10104          ,8,88,8,0
,,,,,,10104           ,12,36,12,0
,,,,,,10108           ,2,2,2,0
,,,,,,10108           ,4,16,4,0
,,,,,,10108           ,76,76,47,29
,,,,,,10109          ,2,4,2,0
,,,,,,10109           ,1,4,1,0
,,,,,,10109           ,4,4,4,0
,,,,,,10109           ,9,9,9,0
,,,,,,10110F18        ,1,1,1,0
,,,,,,10110F19        ,1,1,1,0
,,,,,,10110F25        ,1,1,1,0
,,,,,,10112F25        ,1,3,1,0
,,,,,,10112F25        ,2,2,2,0
,,,,,,10112F25        ,2,2,16,0
,,,,,,10112F25        ,3,6,3,0
,,,,,,10112F25        ,4,4,3,7
,,,,,,10112F25        ,4,8,4,0
,,,,,,10112F25        ,5,55,5,0
,,,,,,10112F25        ,6,6,5,1
,,,,,,10112F25        ,10,10,5,10
,,,,,,10112F25        ,12,12,12,0
,,,,,,10113           ,1,14,1,0
,,,,,,10113           ,2,8,2,0
,,,,,,10113           ,3,12,3,0
,,,,,,10113           ,4,76,4,0
,,,,,,10113           ,5,10,5,0
,,,,,,10113           ,10,10,10,0
,,,,,,10113           ,15,15,15,0
,,,,,,10205           ,2,4,2,0
,,,,,,10206           ,1,1,1,0
,,,,,,10303           ,1,2,1,0
,,,,,,10303           ,2,12,2,0
,,,,,,10303           ,4,4,4,0
,,,,,,10303           ,6,24,6,0
,,,,,,10303           ,8,8,8,0
,,,,,,11405           ,1,7,1,0
,,,,,,11405           ,3,3,3,0
,,,,,,11406           ,1,4,1,0
,,,,,,11406           ,2,16,2,0
,,,,,,11406           ,4,8,4,0
,,,,,,11406           ,6,6,6,0
,,,,,,11406           ,8,40,8,0
,,,,,,11406           ,12,36,12,0
,,,,,,11408           ,1,3,1,0
,,,,,,11410           ,1,21,1,0
,,,,,,11410           ,3,3,3,0
,,,,,,11410           ,4,8,4,0
,,,,,,11412          ,1,2,1,0
,,,,,,13005           ,5,5,5,0
,,,,,,13005           ,6,6,6,0
,,,,,,13009           ,1,1,1,0
,,,,,,15002          ,2,2,2,0
,,,,,,15200          ,3,3,3,0
,,,,,,15200           ,4,4,3,4
,,,,,,15200           ,4,72,4,0
,,,,,,15202           ,1,2,1,0
,,,,,,15203           ,1,1,1,0
,,,,,,15203           ,2,2,2,0
,,,,,,15204           ,1,1,1,0
,,,,,,15205           ,1,1,1,0
,,,,,,15205           ,2,4,2,0
,,,,,,15205           ,4,16,4,0
,,,,,,15205           ,5,5,5,0
,,,,,,15205           ,10,10,10,0
,,,,,,15205           ,17,17,17,0
,,,,,,15209           ,1,1,1,0
,,,,,,15210           ,1,1,1,0
,,,,,,15213           ,1,22,1,0
,,,,,,15214          ,1,14,1,0
,,,,,,15352           ,1,1,1,0
,,,,,,15352           ,2,16,2,0
,,,,,,15352           ,4,48,4,0
,,,,,,15352           ,5,5,5,0
,,,,,,15451           ,1,5,1,0
,,,,,,15452           ,1,1,1,0
,,,,,,15453           ,2,10,2,0
,,,,,,15453           ,10,10,10,0
,,,,,,15454           ,1,1,1,0
,,,,,,15454           ,2,4,1,1
,,,,,,15454           ,2,12,2,0
,,,,,,15454           ,5,5,5,0
,,,,,,15455           ,2,2,1,1
,,,,,,15455           ,2,22,2,0
,,,,,,15455           ,5,5,5,0
,,,,,,15512           ,1,1,1,0
,,,,,,15512           ,2,2,2,0
,,,,,,15517           ,3,3,3,0
,,,,,,15517           ,5,5,5,0
,,,,,,15518           ,3,30,3,0
,,,,,,15518           ,4,16,4,0
,,,,,,15518           ,6,6,6,0
,,,,,,15603           ,1,1,1,0
,,,,,,15606           ,1,1,1,0
,,,,,,15606           ,2,2,2,0
,,,,,,15606           ,10,10,10,0
,,,,,,15607           ,10,10,10,0
,,,,,,15608           ,10,10,10,0
,,,,,,15609           ,1,1,1,0
,,,,,,15609           ,10,10,10,0
,,,,,,15611           ,0.5,0.5,0.5,0
,,,,,,15611           ,1,1,1,0
,,,,,,15612P          ,1,4,1,0
,,,,,,15619           ,1,2,1,0
,,,,,,15620P          ,1,5,1,0
,,,,,,15620P          ,10,40,10,0
,,,,,,15620P          ,50,50,50,0
,,,,,,15621           ,1,1,1,0
,,,,,,15622           ,2,16,2,0
,,,,,,15622           ,3,6,3,0
,,,,,,15622           ,4,4,4,0
,,,,,,15622           ,8,8,8,0
,,,,,,15623           ,1,1,1,0
,,,,,,15632           ,1,1,1,0
,,,,,,15640           ,1,2,1,0
,,,,,,15707           ,1,1,1,0
,,,,,,15708           ,1,5,1,0
,,,,,,15716           ,1,4,1,0
,,,,,,15718           ,1,1,1,0
,,,,,,15725           ,1,20,1,0
,,,,,,15725           ,2,60,2,0
,,,,,,15725           ,4,4,4,0
,,,,,,15774           ,2,2,1,2
,,,,,,15802           ,1,13,1,0
,,,,,,15803           ,1,15,1,0
,,,,,,15803           ,2,10,2,0
,,,,,,15804           ,1,20,1,0
,,,,,,15804           ,2,34,2,0
,,,,,,15804           ,4,96,4,0
,,,,,,15804           ,6,24,6,0
,,,,,,15804           ,7,7,7,0
,,,,,,15804           ,8,16,8,0
,,,,,,15804           ,12,12,12,0
,,,,,,15805           ,1,20,1,0
,,,,,,15805           ,2,34,2,0
,,,,,,15805           ,4,16,4,0
,,,,,,15805           ,5,5,5,0
,,,,,,15805           ,6,12,6,0
,,,,,,15854           ,1,2,1,0
,,,,,,15855           ,1,1,1,0
,,,,,,15900           ,4,4,4,0
,,,,,,15900           ,8,8,8,0
,,,,,,15900           ,12,12,2,10
,,,,,,15900           ,12,72,12,0
,,,,,,15900           ,14,28,14,0
,,,,,,15900           ,16,16,16,0
,,,,,,15900           ,20,20,20,0
,,,,,,15900           ,22,22,22,0
,,,,,,15900           ,24,96,24,0
,,,,,,15900           ,42,42,42,0
,,,,,,15900           ,60,180,60,0
,,,,,,15900           ,96,96,96,0
,,,,,,15900           ,102,102,102,0
,,,,,,15900           ,108,108,108,0
,,,,,,15900           ,116,116,116,0
,,,,,,15900           ,120,240,120,0
,,,,,,15900           ,122,122,122,0
,,,,,,15900           ,144,144,144,0
,,,,,,15900           ,156,156,156,0
,,,,,,15900           ,168,168,168,0
,,,,,,15900           ,170,170,170,0
,,,,,,15900           ,180,3060,180,0
,,,,,,15900           ,200,200,200,0
,,,,,,15900           ,300,600,300,0
,,,,,,15921           ,1,4,1,0
,,,,,,15921           ,2,14,2,0
,,,,,,15921           ,3,9,3,0
,,,,,,15921           ,4,4,4,0
,,,,,,15921           ,5,70,5,0
,,,,,,15921           ,5,10,10,0
,,,,,,15921           ,6,36,6,0
,,,,,,15921           ,8,8,8,0
,,,,,,15921           ,9,9,9,0
,,,,,,15921           ,10,30,10,0
,,,,,,15921           ,10,20,20,0
,,,,,,15921           ,15,30,15,0
,,,,,,15921           ,20,40,20,0
,,,,,,15921           ,21,21,21,0
,,,,,,15961           ,3,12,3,0
,,,,,,15961           ,4,4,4,0
,,,,,,15961           ,5,5,5,0
,,,,,,15961           ,8,8,8,0
,,,,,,15981           ,1,3,1,0
,,,,,,15999           ,1,1,1,0
,,,,,,16191           ,1,1,1,0
,,,,,,16333           ,1,1,1,0
,,,,,,16722           ,1,1,1,0
,,,,,,16727           ,1,1,1,0
,,,,,,16728           ,1,1,1,0
,,,,,,16732           ,1,1,1,0
,,,,,,16734           ,1,1,1,0
,,,,,,16735           ,1,1,1,0
,,,,,,16739           ,1,8,1,0
,,,,,,16739           ,2,2,2,0
,,,,,,16742           ,1,1,1,0
,,,,,,17202           ,1,1,1,0
,,,,,,17613           ,1,2,1,0
,,,,,,17613           ,2,2,2,0
,,,,,,17634           ,1,6,1,0
,,,,,,17635           ,1,1,1,0
,,,,,,17801           ,1,24,1,0
,,,,,,17801           ,2,18,2,0
,,,,,,17801           ,3,21,3,0
,,,,,,17801           ,5,5,5,0
,,,,,,17801           ,6,6,6,0
,,,,,,17802           ,1,2,1,0
,,,,,,17803           ,1,20,1,0
,,,,,,17803           ,2,20,2,0
,,,,,,17803           ,3,21,3,0
,,,,,,17803           ,5,5,5,0
,,,,,,17803           ,6,6,6,0
,,,,,,20100920B       ,1,1,1,0
,,,,,,20110           ,1,7,1,0
,,,,,,20110           ,2,8,2,0
,,,,,,20110           ,7,7,7,0
,,,,,,20111           ,1,12,1,0
,,,,,,20111           ,2,8,2,0
,,,,,,20111           ,3,3,3,0
,,,,,,20111           ,7,7,7,0
,,,,,,20112           ,1,8,1,0
,,,,,,20112           ,2,6,2,0
,,,,,,20112           ,3,3,3,0
,,,,,,20112           ,7,7,7,0
,,,,,,20114           ,1,8,1,0
,,,,,,20114           ,2,6,2,0
,,,,,,20114           ,3,3,3,0
,,,,,,20114           ,7,7,7,0
,,,,,,20120-MP        ,5,15,5,0
,,,,,,20128-MP        ,5,5,5,0
,,,,,,21514           ,3,12,3,0
,,,,,,25001          ,2,2,2,0
,,,,,,25001           ,1,20,1,0
,,,,,,25001           ,3,3,3,0
,,,,,,25004           ,1,12,1,0
,,,,,,25005          ,1,3,1,0
,,,,,,25006           ,1,1,1,0
,,,,,,25006           ,3,3,3,0
,,,,,,25007           ,1,1,1,0
,,,,,,25007           ,3,3,3,0
,,,,,,25008           ,1,1,1,0
,,,,,,25008           ,3,3,3,0
,,,,,,25009           ,1,2,1,0
,,,,,,25009           ,3,3,3,0
,,,,,,25010          ,1,5,1,0
,,,,,,25010           ,2,2,2,0
,,,,,,25011           ,1,6,1,0
,,,,,,25011           ,2,2,2,0
,,,,,,25012           ,1,31,1,0
,,,,,,25012           ,3,3,3,0
,,,,,,25014           ,1,22,1,0
,,,,,,25017           ,1,6,1,0
