Mercado;Combo ENTREGA;CLIENTE;MONTADOR;CÓD;MÁQUINA ;Ordem de entrega dos equipamentos;OP;Situação;FALTAS;ENTREGA BRALYX SBC;CÓDIGO PAINEL;OP;Fornecedor;Situação;Data Acionamento Bralyx SP;Faltas de itens para Painéis;ENTREGA BRALYX SBC;Prazo de entrega ( Painel Montado );ENTREGA BRALYX SBC ( PAINÉIS );Observações;Data da Solicitação ;Prazo (Comercial);Aceite PCP;Data final acordada - P.A;Data Entrega;Dias de Atraso;Faturada?
MI;;;Leonardo ;MSX197NM220;PASTELYX;32º;31521;Finalizada;COMPLETA;100% ENTREGUE - JAN;DB6440;ESTOQUE;;Finalizada ;;;OK;;;ESTAMPA QUADRADRO - DB5217 / ESTAMPO SORRETINO  DB5214;26-jan;27-fev;;27-fev;;;
MI;;ESTOQUE;Romário ;MFX158NM220R;MAXIFORM LUNA TECH DR ;;31939;Finalizada;COMPLETA;100% ENTREGUE - FEV;DB6212;ESTOQUE;;Finalizada ;;;OK;;;;3-fev;28-fev;;4-mar;;;
MI;;ESTOQUE;;MFX098NM220;LUNA ANALOGICA;;30860;Finalizada;COMPLETA;;;;;;;;;;;;26-mar;24-abr;;4-mar;;;
MI;;ESTOQUE;;MFX145NM220;MAXIFORM NEW DULY NR12 ;;31948;Finalizada;COMPLETA;100% ENTREGUE - FEV;DB2091;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;5-mar;;;
MI;;ESTOQUE;;MFX098NM220;LUNA ANALOGICA;;30863;Finalizada;COMPLETA;;;;;;;;;;;;26-mar;24-abr;;5-mar;;;
MI;;ESTOQUE;Leonardo;MFX090NM220;MAXIFORM DOLCELYX ;;31957;Finalizada;COMPLETA;100% ENTREGUE - FEV;DB1576;ESTOQUE;;Finalizada ;;;OK;;;;3-fev;28-fev;;6-mar;;;
MI;;ESTOQUE;;MFX098NM220;LUNA ANALOGICA;;32478;Finalizada;COMPLETA;;;;;;;;;;;;26-mar;24-abr;;9-mar;;;
ME;;ESTOQUE;;MFX090CM220;MAXIFORM DOLCELYX CE;;32532;Finalizada;COMPLETA;100% ENTREGUE - FEV;DB1580;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;10-mar;;;
ME;;ESTOQUE;;MFX158CM220;LUNA TECH CE;;32495;Finalizada;COMPLETA;100% ENTREGUE - MARÇO;;;;;;;;;;;26-mar;24-abr;;10-mar;;;
MI;;ESTOQUE;Leonardo;MFX090NM220;MAXIFORM DOLCELYX ;;31956;Finalizada;COMPLETA;100% ENTREGUE - FEV;DB1576;ESTOQUE;;Finalizada ;;;OK;;;;3-fev;28-fev;;11-mar;;;
